Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Stackhousia,Celastraceae,Celastrales,0,0,0.875,0,0,.,.,.,.,.,.,.,.
Staehelina,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,1,.,.,0.77,3.67328198
Stanleya,Brassicaceae,Brassicales,0,0,0.777777778,0.111111111,0.00485306,.,.,.,.,.,.,.,.
Stauracanthus,Fabaceae,Fabales,0,0,1,1,0.096494845,.,.,.,.,.,.,.,.
Stebbinsoseris,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,.,.
Stellaria,Caryophyllaceae,Caryophyllales,0.0683527,0.025974026,0.676923077,0,0.001818182,.,1,0.636363636,1,0,0.7345,1.1,25.97943667
Stemodia,Plantaginaceae,Lamiales,0,0,1,0,0.005925926,.,.,.,1,.,.,.,.
Stenanthemum,Rhamnaceae,Rosales,0,0,1,0,0.004444444,.,.,.,.,.,.,.,.
Stenogonum,Polygonaceae,Caryophyllales,0,0,0,0,0.002727273,.,.,.,.,.,.,.,.
Stenogyne,Lamiaceae,Lamiales,0.526315789,0.05,1,0,0.004320557,.,.,.,.,.,.,.,.
Stenopetalum,Brassicaceae,Brassicales,0,0,0.166666667,0,0.00485306,.,.,.,1,.,.,.,.
Stenotus,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Stephanomeria,Asteraceae,Asterales,0.432900433,0.045454545,0.636363636,0.136363636,0.00210989,.,.,.,.,.,.,3.09,1.830697168
Sternbergia,Amaryllidaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,21.29666667,10.83040065
Sticherus,Gleicheniaceae,Monilophyta,0,0,1,0,0,.,.,.,.,.,.,.,.
Stillingia,Euphorbiaceae,Malpighiales,0,0,0.833333333,0,0.01239531,.,.,.,.,.,.,.,.
Stipa,Poaceae,Poales,0.101010101,0.05,0.965,0,0.074314214,.,1,0.928571429,0,2,.,1.235,39.50637077
Stipagrostis,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.
Streptanthus,Brassicaceae,Brassicales,0,0,0.314814815,0.037037037,0.00485306,.,.,.,.,.,0.9,0.69,.
Streptopus,Liliaceae,Liliales,100,0.5,1,0,0,.,1,0.5,1,.,.,6.105,0
Strophostyles,Fabaceae,Fabales,0,0,0,0,0.096494845,.,.,.,.,.,.,.,.
Stuartina,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,0,.,.,.,.
Stutzia,Amaranthaceae,Caryophyllales,0,0,0,0,0.041463415,.,.,.,.,.,.,.,.
Stylidium,Stylidiaceae,Asterales,0,0,0.5,0,0,.,.,.,.,.,.,1.53,.
Stylocline,Asteraceae,Asterales,16.66666667,0.416666667,0,0,0.00210989,.,.,.,.,.,.,.,.
Suaeda,Amaranthaceae,Caryophyllales,0.158730159,0.027777778,0.375,0.291666667,0.041463415,.,1,0.75,0.333333333,0,.,1.06,.
Succisa,Caprifoliaceae,Dipsacales,0,0,1,0,0,.,1,1,1,0.5,.,2.765,0
Succisella,Caprifoliaceae,Dipsacales,0,0,1,0,0,.,1,0.5,1,3,.,2.775,7.899210889
Succowia,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,.,.,.,.,.
Swainsona,Fabaceae,Fabales,0,0,0.944444444,0.166666667,0.096494845,.,.,.,1,.,.,.,.
Swertia,Gentianaceae,Gentianales,0,0,1,0,0,0,1,0.5,1,.,.,.,.
Symphoricarpos,Caprifoliaceae,Dipsacales,0.833333333,0.0625,1,1,0,.,1,0.5,1,.,.,.,.
Symphyandra,Campanulaceae,Asterales,0,0,0.666666667,0,0,.,.,.,.,.,.,.,.
Symphytum,Boraginaceae,Boraginales,1.538461538,0.192307692,1,0,0.001824818,.,1,0.7,1,.,.,2.206666667,0
Synthyris,Scrophulariaceae,Lamiales,0,0,1,0,0.001764706,.,.,.,.,.,.,1.32,.
Syntrichopappus,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,.,.
Syrenia,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,.,.,.,.,.
Syringa,Oleaceae,Lamiales,0,0,1,1,0.003252033,.,1,0.5,1,.,.,1.236666667,4.435170532
Syzygium,Myrtaceae,Myrtales,0,0,1,1,0.003243243,0,.,.,1,2.688888889,.,1.83,.
Taeniatherum,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,0,.,.,4.555,0
Tagetes,Asteraceae,Asterales,0,0,0,0,0.00210989,0,.,.,.,.,.,1.18,.
Talinum,Talinaceae,Caryophyllales,0,0,1,0,0.090909091,0,.,.,1,.,.,.,.
Tamarix,Tamaricaceae,Caryophyllales,0.738916256,0.103448276,1,1,0,.,.,.,0.5,0,.,1.5825,3.14372018
Tanacetum,Asteraceae,Asterales,0,0,0.931034483,0,0.00210989,.,1,0.75,1,.,.,6.43,35.11297638
Taraxacum,Asteraceae,Asterales,0.007936036,0.012578616,1,0,0.00210989,.,0.666666667,0.96875,1,.,.,1.513333333,41.82513466
Tauschia,Apiaceae,Apiales,0,0,1,0,0.003968254,.,.,.,.,.,.,.,.
Taxus,Taxaceae,Pinophyta,0,0,1,1,0,.,1,1,0,0.777777778,.,11.4,2.006854005
Tectaria,Tectariaceae,Monilophyta,0,0,1,0,0,.,.,.,.,.,.,.,.
Teesdalia,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,1,1,1,.,.,0.61,.
Telekia,Asteraceae,Asterales,0,0,1,0,0.00210989,.,1,0.5,1,.,.,1.29,.
Teline,Fabaceae,Fabales,0,0,1,1,0.096494845,.,.,.,.,.,.,1.03,.
Templetonia,Fabaceae,Fabales,0,0,1,0.666666667,0.096494845,.,.,.,.,.,.,.,.
Tephroseris,Asteraceae,Asterales,0,0,1,0,0.00210989,.,1,0.7,1,.,.,.,.
Terminalia,Combretaceae,Myrtales,0,0,1,1,0.01,0,.,.,1,2.425,.,3.955,40.35504373
Tetracoccus,Picrodendraceae,Malpighiales,0,0,1,1,0,.,.,.,.,.,.,.,.
Tetradymia,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.
Tetragonia,Aizoaceae,Caryophyllales,0,0,0.25,0,0.000990099,.,.,.,0,.,.,.,.
Tetragonolobus,Fabaceae,Fabales,0,0,0.2,0,0.096494845,.,.,.,.,.,.,.,.
Tetramolopium,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.
Tetraplasandra,Araliaceae,Apiales,0,0,1,1,0,.,.,.,.,4,.,.,.
Tetrarrhena,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.
Tetratheca,Elaeocarpaceae,Oxalidales,0,0,1,0.875,0,.,.,.,.,.,0.983333333,.,.
Teucrium,Lamiaceae,Lamiales,0.049603175,0.015625,0.836065574,0.640625,0.004320557,.,1,0.7,0.964285714,0.166666667,.,1.05,40.319585
Thalictrum,Ranunculaceae,Ranunculales,0,0,1,0,0,0,1,0.5,0.714285714,.,.,1.2,11.78511302
Thapsia,Apiaceae,Apiales,0,0,1,0,0.003968254,.,.,.,1,.,.,.,.
Thaspium,Apiaceae,Apiales,0,0,1,0,0.003968254,.,.,.,.,.,.,.,.
Thelesperma,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Thelionema,Xanthorrhoeaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.
Thelymitra,Orchidaceae,Asparagales,9.558823529,0.764705882,1,0,0,.,.,.,.,.,.,.,.
Thelypodiopsis,Brassicaceae,Brassicales,0,0,0.083333333,0,0.00485306,.,.,.,.,.,.,.,.
Thelypodium,Brassicaceae,Brassicales,0,0,0.157894737,0,0.00485306,.,.,.,.,.,.,.,.
Thelypteris,Thelypteridaceae,Monilophyta,0,0,1,0,0,.,1,0.5,.,1.966666667,.,6.045,36.14491239
Themeda,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,0,.,.,.,.
Thermopsis,Fabaceae,Fabales,0,0,1,0,0.096494845,.,.,.,.,.,.,.,.
Thesium,Santalaceae,Santalales,0,0,0.916666667,0,0.002139037,0,1,0.785714286,0.95,.,.,.,.
Thlaspi,Brassicaceae,Brassicales,0,0,0.541666667,0,0.00485306,.,1,0.916666667,1,.,.,0.405,39.02950467
Thryptomene,Myrtaceae,Myrtales,0,0,1,1,0.003243243,.,.,.,.,.,.,0.41,.
Thunbergia,Acanthaceae,Lamiales,0,0,1,0,0.000857143,0.777777778,.,.,.,.,.,.,.
Thymelaea,Thymelaeaceae,Malvales,0,0,0.823529412,0.823529412,0.001324503,.,1,1,0.666666667,.,.,0.75,.
Thymophylla,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Thymus,Lamiaceae,Lamiales,0.523138833,0.183098592,1,0.575342466,0.004320557,.,1,0.75,1,.,0.68,1.013333333,33.0506175
Thysanocarpus,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,.,.,.,.,.
Thysanotus,Asparagaceae,Asparagales,0,0,1,0,0,.,.,.,1,.,.,.,.
Tibouchina,Melastomataceae,Myrtales,0,0,1,0.333333333,0,.,.,.,1,2.25,.,.,.
Tidestromia,Amaranthaceae,Caryophyllales,0,0,0.5,0.25,0.041463415,.,.,.,.,.,.,.,.
Tilia,Malvaceae,Malvales,10.8974359,0.653846154,1,1,0.006153846,.,1,1,0.833333333,.,.,.,.
Tiquilia,Boraginaceae,Boraginales,0,0,0.75,0.375,0.001824818,.,.,.,.,0.5,.,.,.
Tmesipteris,Psilotaceae,Monilophyta,0,0,1,0,0,.,.,.,.,.,.,.,.
Tofieldia,Tofieldiaceae,Alismatales,0,0,1,0,0,.,1,0.5,0.333333333,.,.,0.78,.
Tolpis,Asteraceae,Asterales,0,0,0.6,0,0.00210989,0,1,0.5,1,.,0.866,1.692,41.60563409
Tomanthera,Scrophulariaceae,Lamiales,0,0,0,0,0.001764706,.,.,.,.,.,.,.,.
Tonestus,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Tordylium,Apiaceae,Apiales,0,0,0,0,0.003968254,.,1,1,1,.,.,.,.
Torilis,Apiaceae,Apiales,0,0,0,0,0.003968254,.,1,1,1,.,.,1.82,23.17700259
Torreyochloa,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.
Torularia,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,.,.,.,.,.
Townsendia,Asteraceae,Asterales,0.790513834,0.086956522,0.739130435,0,0.00210989,.,.,.,.,.,.,.,.
Toxicodendron,Anacardiaceae,Sapindales,0,0,1,1,0.002030457,.,.,.,.,3,.,.,.
Trachelium,Campanulaceae,Asterales,0,0,1,0,0,.,.,.,.,.,.,.,.
Trachomitum,Apocynaceae,Gentianales,0,0,1,.,0.000658617,.,.,.,.,.,.,.,.
Trachymene,Araliaceae,Apiales,0,0,0.3,0,0,.,.,.,1,.,.,.,.
Tradescantia,Commelinaceae,Commelinales,0,0,1,0,0,0,.,.,1,.,.,17.535,53.31045655
Tragia,Euphorbiaceae,Malpighiales,0,0,1,0,0.01239531,0,.,.,.,0,.,.,.
Tragopogon,Asteraceae,Asterales,0.672268908,0.114285714,0.185714286,0,0.00210989,.,1,1,1,.,.,4.17,34.43425754
Tragus,Poaceae,Poales,0,0,0,0,0.074314214,.,1,1,0,.,.,.,.
Trematolobelia,Campanulaceae,Asterales,0,0,1,1,0,.,.,.,.,.,.,.,.
Triadenum,Hypericaceae,Malpighiales,0,0,1,0,0,.,.,.,.,.,.,.,.
Tribolium,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.
Trichanthodium,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,.,.
Trichophorum,Cyperaceae,Poales,0,0,1,0,0.00045977,.,1,0.5,0,.,.,.,.
Trichostema,Lamiaceae,Lamiales,0,0,0.153846154,0.153846154,0.004320557,.,.,.,.,.,.,.,.
Tricoryne,Xanthorrhoeaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.
Tricyrtis,Liliaceae,Liliales,0,0,1,0,0,.,.,.,.,.,.,4.21,7.863631999
Tridens,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.
Trientalis,Primulaceae,Ericales,0,0,1,0,0,.,.,.,.,.,.,.,.
Trifolium,Fabaceae,Fabales,0.00911965,0.011673152,0.343220339,0.011627907,0.096494845,1,1,0.941176471,1,.,0.032,1.02469697,88.09872352
Triglochin,Juncaginaceae,Alismatales,0,0,0.806451613,0,0,.,1,0.5,0,.,.,1.76,.
Trigonella,Fabaceae,Fabales,0,0,0,0,0.096494845,.,1,1,1,.,.,0.7,.
Trillium,Melanthiaceae,Liliales,0,0,1,0,0,.,.,.,.,.,0.65975,64.13090909,34.84439789
Trimorpha,Asteraceae,Asterales,0,0,0.25,0,0.00210989,.,.,.,.,.,.,.,.
Trinia,Apiaceae,Apiales,0,0,0.555555556,0,0.003968254,.,1,1,1,.,.,.,.
Triodanis,Campanulaceae,Asterales,0,0,0,0,0,.,.,.,.,.,.,.,.
Triosteum,Caprifoliaceae,Dipsacales,0,0,1,0,0,.,.,.,.,.,.,.,.
Triphysaria,Scrophulariaceae,Lamiales,20,0.4,0,0,0.001764706,.,.,.,.,.,.,.,.
Tripleurospermum,Asteraceae,Asterales,150,0.75,0.25,0,0.00210989,.,1,1,1,.,.,3.789285714,18.45656647
Tripterocalyx,Nyctaginaceae,Caryophyllales,10,0.2,0.4,0,0.005063291,.,.,.,.,.,.,.,.
Trisetum,Poaceae,Poales,0,0,0.815789474,0,0.074314214,.,1,0.5,0.25,.,.,5.071538462,32.40649614
Triteleia,Asparagaceae,Asparagales,1.098901099,0.071428571,1,0,0,.,.,.,.,.,.,9.59,28.6267
Triticum,Poaceae,Poales,1.923076923,0.115384615,0,0,0.074314214,.,1,1,1,.,0.425,13.22813559,32.66118883
Tritonia,Iridaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,1.1,.
Triumfetta,Malvaceae,Malvales,0,0,1,0,0.006153846,0,.,.,0.5,.,.,.,.
Trollius,Ranunculaceae,Ranunculales,100,0.5,1,0,0,.,1,0.5,1,.,.,4.42,.
Tropidocarpum,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,.,.,.,.,.
Tsuga,Pinaceae,Pinophyta,0,0,1,1,0.004761905,.,.,.,0,0.3125,0.929,18.32,8.318011038
Tuberaria,Cistaceae,Malvales,0,0,0.3,0.3,0.011428571,.,1,1,1,.,.,3.565,26.0408587
Tuctoria,Poaceae,Poales,0,0,0,0,0.074314214,.,.,.,.,.,.,.,.
Tulipa,Liliaceae,Liliales,1.098901099,0.071428571,1,0,0,.,1,0.25,1,.,.,29.28707483,22.28299774
Typha,Typhaceae,Poales,5.072463768,0.583333333,1,0,0,0,1,0.5,0,.,.,0.3,0
Ulex,Fabaceae,Fabales,2.222222222,0.1,1,1,0.096494845,.,1,1,1,.,.,3.375,19.90374643
Ulmus,Ulmaceae,Rosales,2.461538462,0.307692308,1,1,0,.,1,0.75,0.25,2.75,.,1.858,7.71371022
Umbilicus,Crassulaceae,Saxifragales,0,0,1,0,0,0,.,1,1,.,.,.,.
Uncinia,Cyperaceae,Poales,0,0,1,0,0.00045977,.,.,.,.,2.25,.,1.35,.
Urera,Urticaceae,Rosales,0,0,1,1,0,0,.,.,0,2.25,.,.,.
Urginea,Asparagaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.
Urospermum,Asteraceae,Asterales,0,0,0.5,0,0.00210989,.,.,.,1,.,.,.,.
Urtica,Urticaceae,Rosales,0,0,0.545454545,0,0,.,1,0.75,0.4,.,.,0.846,44.34869408
Utricularia,Lentibulariaceae,Lamiales,0.096618357,0.02173913,0.861111111,0,0,1,1,0.083333333,1,.,.,0.217857143,38.6639373
Uvularia,Colchicaceae,Liliales,0,0,1,0,0,.,.,.,.,.,.,12.20666667,34.68778011
Vaccinium,Ericaceae,Ericales,0.340136054,0.081632653,1,1,0,.,1,0.333333333,0.944444444,2.5,.,0.634285714,4.445940621
Valantia,Rubiaceae,Gentianales,0,0,0.333333333,0,6.00E-04,.,.,.,1,.,.,.,.
Vallisneria,Hydrocharitaceae,Alismatales,0,0,1,0,0,.,1,0,0,.,.,.,.
Vancouveria,Berberidaceae,Ranunculales,0,0,1,0,0,.,.,.,.,.,.,.,.
Vandenboschia,Hymenophyllaceae,Monilophyta,0,0,1,0,0,.,.,.,.,.,.,.,.
Velezia,Caryophyllaceae,Caryophyllales,0,0,0,0,0.001818182,.,.,.,.,.,.,.,.
Vella,Brassicaceae,Brassicales,0,0,1,1,0.00485306,.,.,.,.,.,.,1.375,53.99724511
Velleia,Goodeniaceae,Asterales,0,0,0.666666667,0,0,.,.,.,1,.,.,.,.
Ventenata,Poaceae,Poales,0,0,0,0,0.074314214,.,1,1,0,.,.,.,.
Veratrum,Melanthiaceae,Liliales,0,0,1,0,0,.,1,0.5,1,.,.,2.793333333,16.72007627
Verbascum,Scrophulariaceae,Lamiales,0.38552321,0.237096774,0.209677419,0.008064516,0.001764706,.,1,1,1,.,0.71,0.4,14.14213562
Verbesina,Asteraceae,Asterales,0,0,0.625,0.125,0.00210989,.,.,.,1,1.892857143,.,.,.
Vernonia,Asteraceae,Asterales,0,0,1,0,0.00210989,0,.,.,1,1.8,0.077,.,.
Veronica,Plantaginaceae,Lamiales,0.045444217,0.036809816,0.599315068,0,0.005925926,1,1,0.691176471,1,0.5,.,0.889772727,51.62149392
Viburnum,Adoxaceae,Dipsacales,0.333333333,0.04,1,1,0,.,1,1,1,2.444444444,.,4.0325,4.035000644
Vicia,Fabaceae,Fabales,0,0,0.359353476,0,0.096494845,.,1,0.916666667,1,.,0.504,5.720225564,55.14473525
Vigna,Fabaceae,Fabales,0,0,0.5,0,0.096494845,1,.,.,1,.,.,0.871081081,43.61529481
Viguiera,Asteraceae,Asterales,0,0,0.571428571,0.428571429,0.00210989,.,.,.,1,3,.,.,.
Villarsia,Menyanthaceae,Asterales,0,0,0.833333333,0,0,.,.,.,.,.,.,.,.
Vinca,Apocynaceae,Gentianales,0,0,1,0,0.000658617,.,1,0.25,1,.,.,1.476666667,40.18337678
Vincetoxicum,Apocynaceae,Gentianales,0,0,1,.,0.000658617,.,1,0.5,1,0,.,0.3375,0
Viscum,Santalaceae,Santalales,0,0,1,1,0.002139037,0,1,1,0.5,.,.,79.13444444,8.198986636
Vittadinia,Asteraceae,Asterales,1.515151515,0.083333333,0.708333333,0,0.00210989,.,.,.,1,.,.,.,.
Vulpia,Poaceae,Poales,0.525525526,0.094594595,0.028571429,0,0.074314214,.,1,1,0,.,.,3.608333333,48.03704921
Wahlenbergia,Campanulaceae,Asterales,0,0,0.823529412,0,0,0,1,0.5,1,3.5,.,0.33,.
Waldsteinia,Rosaceae,Rosales,0,0,1,0,0.001060071,.,.,.,.,.,.,.,.
Watsonia,Iridaceae,Asparagales,0,0,1,0,0,1,.,.,.,.,.,0.7,.
Westringia,Lamiaceae,Lamiales,0,0,1,1,0.004320557,.,.,.,.,.,.,.,.
Wikstroemia,Thymelaeaceae,Malvales,0,0,1,1,0.001324503,.,.,.,.,3.25,.,.,.
Wilkesia,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.
Wilsonia,Convolvulaceae,Solanales,0,0,1,0,0.044375,.,.,.,.,.,.,.,.
Wisteria,Fabaceae,Fabales,0,0,1,1,0.096494845,.,.,.,.,.,.,.,.
Withania,Solanaceae,Solanales,0,0,1,1,0.089837398,.,.,.,.,0,.,4.765,0
Wolffia,Araceae,Alismatales,0,0,1,0,0.000248447,.,1,0,.,.,.,1.200833333,38.20490178
Wolffiella,Araceae,Alismatales,0,0,1,0,0.000248447,.,.,.,.,.,.,0.765,20.70977715
Woodwardia,Blechnaceae,Monilophyta,0,0,1,0,0,.,.,.,.,.,.,.,.
Wulfenia,Plantaginaceae,Lamiales,0,0,1,0,0.005925926,.,.,.,.,.,.,1.35,.
Wurmbea,Colchicaceae,Liliales,0,0,1,0,0,0,.,.,.,.,0.7468,.,.
Wyethia,Asteraceae,Asterales,2.380952381,0.166666667,1,0,0.00210989,.,.,.,.,.,.,.,.
Xanthium,Asteraceae,Asterales,0.833333333,0.0625,0,0,0.00210989,.,1,1,0,.,0.116666667,2.87,13.79720549
Xanthosia,Apiaceae,Apiales,0,0,1,0.166666667,0.003968254,.,.,.,.,.,.,.,.
Xeranthemum,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,1,.,.,2.0325,37.92030373
Xylorhiza,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.
Xylosma,Salicaceae,Malpighiales,0,0,1,1,0,.,.,.,1,2.794117647,.,.,.
Yucca,Asparagaceae,Asparagales,0.833333333,0.0625,1,0.375,0,.,.,.,1,.,0.956,3.1375,37.15721137
Zanthoxylum,Rutaceae,Sapindales,0,0,1,1,0.001652893,0,.,.,1,2.340909091,.,5.193333333,58.55727288
Zieria,Rutaceae,Sapindales,0,0,1,1,0.001652893,.,.,.,.,2,.,.,.
Zigadenus,Melanthiaceae,Liliales,0,0,1,0,0,.,.,.,.,.,.,.,.
Zingeria,Poaceae,Poales,0,0,0,0,0.074314214,.,.,.,.,.,.,2.025,20.57613169
Zinnia,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,.,.
Zizania,Poaceae,Poales,0,0,0.25,0,0.074314214,.,.,.,.,.,.,2.18,.
Zizia,Apiaceae,Apiales,0,0,1,0,0.003968254,.,.,.,.,.,.,.,.
Ziziphora,Lamiaceae,Lamiales,0,0,0,0,0.004320557,.,.,.,.,.,.,.,.
Ziziphus,Rhamnaceae,Rosales,0,0,1,1,0.004444444,0,.,.,.,1.8,.,1.55,.
Zuckia,Amaranthaceae,Caryophyllales,0,0,1,1,0.041463415,.,.,.,.,.,.,.,.
