Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Purshia,Rosaceae,Rosales,33.33333333,0.5,1,1,0.001060071,.,.,.,.,.,.,.,.
Pycnanthemum,Lamiaceae,Lamiales,0,0,1,0,0.004320557,.,.,.,.,.,.,.,.
Pycnosorus,Asteraceae,Asterales,0,0,0.333333333,0,0.00210989,.,.,.,1,.,.,.,.
Pycreus,Cyperaceae,Poales,0,0,0.25,0,0.00045977,1,1,1,0,.,.,.,.
Pyracantha,Rosaceae,Rosales,0,0,1,1,0.001060071,0,.,.,1,3,.,0.725,0
Pyrola,Ericaceae,Ericales,0,0,1,0,0,.,1,0.5,1,.,.,.,.
Pyrrhopappus,Asteraceae,Asterales,0,0,0.5,0,0.00210989,.,.,.,.,.,.,6.465,4.046860155
Pyrrocoma,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Pyrularia,Santalaceae,Santalales,0,0,1,1,0.002139037,.,.,.,.,.,.,.,.
Pyrus,Rosaceae,Rosales,0.952380952,0.066666667,1,1,0.001060071,.,1,1,1,2.071428571,.,0.626,11.53870036
Quercus,Fagaceae,Fagales,1.865203762,0.811363636,1,1,0.001492537,.,1,1,0.181818182,1.650943396,0.985,0.906086957,6.938221254
Rafinesquia,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,.,.
Raillardella,Asteraceae,Asterales,33.33333333,0.333333333,1,0,0.00210989,.,.,.,.,.,.,.,.
Raillardiopsis,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Ramonda,Gesneriaceae,Lamiales,0,0,1,0,0,.,.,.,.,.,.,2.842857143,52.44090889
Ranunculus,Ranunculaceae,Ranunculales,0.044003432,0.066225166,0.774545455,0,0,0,0.707317073,0.552941176,1,.,.,6.890787402,59.76966564
Raphanus,Brassicaceae,Brassicales,3.636363636,0.181818182,0.090909091,0,0.00485306,.,1,1,1,.,.,0.664444444,0
Rapistrum,Brassicaceae,Brassicales,0,0,0.25,0,0.00485306,.,1,1,1,.,.,.,.
Ratibida,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Reichardia,Asteraceae,Asterales,0,0,0.583333333,0,0.00210989,.,.,.,1,.,.,1.7725,32.08754675
Remya,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,.,.,.,.,.
Reseda,Resedaceae,Brassicales,0,0,0.378787879,0,0.026666667,.,1,1,1,0,.,0.43,26.31095
Restio,Restionaceae,Poales,0,0,1,0,0,.,.,.,.,.,.,.,.
Reynoutria,Polygonaceae,Caryophyllales,16.66666667,0.25,1,0,0.002727273,.,1,0,1,.,.,2.573,31.87624101
Rhagodia,Amaranthaceae,Caryophyllales,0,0,1,0,0.041463415,.,.,.,0,.,.,.,.
Rhamnus,Rhamnaceae,Rosales,0.189393939,0.03030303,1,1,0.004444444,.,1,1,0.833333333,0.875,.,0.581428571,58.19081508
Rheum,Polygonaceae,Caryophyllales,0,0,1,0,0.002727273,.,1,0.5,1,.,.,.,.
Rhexia,Melastomataceae,Myrtales,0,0,1,0,0,.,.,.,.,.,.,.,.
Rhinanthus,Orobanchaceae,Lamiales,0,0,0,0,0,.,1,1,1,.,.,3.5,18.1827458
Rhodanthe,Asteraceae,Asterales,0,0,0.1,0,0.00210989,.,.,.,1,.,.,.,.
Rhodiola,Crassulaceae,Saxifragales,0,0,1,0,0,.,.,.,.,.,0.728,.,.
Rhododendron,Ericaceae,Ericales,0,0,1,1,0,.,1,0.9,0.875,2.045454545,0.8,.,.
Rhus,Anacardiaceae,Sapindales,1.470588235,0.117647059,1,1,0.002030457,0,1,0.5,0.75,1.416666667,.,.,.
Rhynchosinapis,Brassicaceae,Brassicales,0,0,0.5,0,0.00485306,.,.,.,.,.,.,.,.
Rhynchospora,Cyperaceae,Poales,0,0,1,0,0.00045977,.,1,0.5,0.489130435,.,.,.,.
Rhytidosporum,Pittosporaceae,Apiales,0,0,1,0,0.005,.,.,.,.,.,.,.,.
Ribes,Grossulariaceae,Saxifragales,0.088157508,0.036144578,1,1,0,.,1,0.875,1,2.4,.,0.886,21.39414262
Richea,Ericaceae,Ericales,0,0,1,1,0,.,.,.,.,.,.,.,.
Ricotia,Brassicaceae,Brassicales,0,0,0.5,0,0.00485306,.,.,.,.,.,.,.,.
Rindera,Boraginaceae,Boraginales,0,0,1,0,0.001824818,.,.,.,.,.,.,.,.
Robinia,Fabaceae,Fabales,0,0,1,1,0.096494845,.,1,0.5,1,.,0.8,0.695,0
Rollandia,Campanulaceae,Asterales,3.571428571,0.125,1,0.75,0,.,.,.,.,.,.,.,.
Romanzoffia,Boraginaceae,Boraginales,0,0,1,0,0.001824818,.,.,.,.,.,.,.,.
Romneya,Papaveraceae,Ranunculales,0,0,1,1,0,.,.,.,.,.,.,.,.
Romulea,Iridaceae,Asparagales,2.197802198,0.142857143,1,0,0,0,.,.,1,.,.,.,.
Rorippa,Brassicaceae,Brassicales,0.951877314,0.290322581,0.656341928,0,0.00485306,.,1,0.571428571,1,.,.,0.62,0
Rosa,Rosaceae,Rosales,1.171624714,0.667826087,1,1,0.001060071,0,1,0.759259259,1,.,.,0.785,42.40715109
Rosmarinus,Lamiaceae,Lamiales,0,0,1,1,0.004320557,1,.,.,1,.,.,.,.
Rostraria,Poaceae,Poales,0,0,0,0,0.074314214,.,.,.,0,.,.,.,.
Rotala,Lythraceae,Myrtales,0,0,0,0,0,0,.,.,.,.,.,.,.
Rubia,Rubiaceae,Gentianales,0,0,1,0,6.00E-04,.,.,.,1,.,.,2.76,.
Rubus,Rosaceae,Rosales,0.06483085,0.181850534,1,0.911931818,0.001060071,0,0.504885993,0.498381877,1,2,.,0.371851852,57.24598553
Rudbeckia,Asteraceae,Asterales,0,0,0.903252711,0,0.00210989,.,1,0.75,1,.,.,9.05,45.87296954
Ruellia,Acanthaceae,Lamiales,0,0,1,0,0.000857143,0,.,.,1,0.8,.,.,.
Rulingia,Malvaceae,Malvales,0,0,1,1,0.006153846,.,.,.,.,.,.,.,.
Rumex,Polygonaceae,Caryophyllales,0.593395253,0.450980392,0.846491228,0.019607843,0.002727273,.,1,0.891304348,0.392857143,2,.,2.809285714,54.30804791
Rupertia,Fabaceae,Fabales,0,0,1,0,0.096494845,.,.,.,.,.,.,.,.
Ruppia,Ruppiaceae,Alismatales,0,0,0.8,0,0,.,1,0.5,0.25,.,.,2.33,.
Ruscus,Asparagaceae,Asparagales,10,0.2,1,0.4,0,.,.,.,1,.,.,8.944,8.947780981
Ruta,Rutaceae,Sapindales,0,0,1,0,0.001652893,.,1,1,1,.,.,0.546,47.72927976
Rutidosis,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,1,.,.,.,.
Sabatia,Gentianaceae,Gentianales,0,0,0,0,0,.,.,.,.,.,0.723,.,.
Saccharum,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,0,.,.,4.259444444,21.72545252
Sadleria,Blechnaceae,Monilophyta,33.33333333,0.833333333,1,0,0,.,.,.,.,.,.,.,.
Sagina,Caryophyllaceae,Caryophyllales,0.269905533,0.051282051,0.684210526,0,0.001818182,.,1,0.875,1,.,.,.,.
Sagittaria,Alismataceae,Alismatales,0,0,0.867647059,0,0,0,1,0.5,1,.,0.74,16.21,27.06285971
Salicornia,Amaranthaceae,Caryophyllales,0.790513834,0.086956522,0.173913043,0.105263158,0.041463415,.,1,1,0.1875,.,.,1.38,.
Salix,Salicaceae,Malpighiales,0.594652598,0.627358491,1,0.833333333,0,.,1,0.75,0.93,2.2,.,0.625,30.31144998
Salsola,Amaranthaceae,Caryophyllales,0.317460317,0.055555556,0.333333333,0.333333333,0.041463415,.,1,1,0.5,.,.,0.96,51.55986946
Salvia,Lamiaceae,Lamiales,0.101577118,0.043678161,0.818181818,0.229885057,0.004320557,1,1,1,1,2.208333333,0.645,0.708333333,37.1108878
Salvinia,Salviniaceae,Monilophyta,0,0,0,0,0,.,1,0.5,.,.,.,.,.
Sambucus,Adoxaceae,Dipsacales,0,0,1,0.85,0,0,1,0.833333333,1,2,.,9.5425,14.00102989
Samolus,Primulaceae,Ericales,0,0,1,0,0,.,1,0.5,1,.,.,.,.
Sanguisorba,Rosaceae,Rosales,0,0,0.894736842,0,0.001060071,.,1,0.75,0.333333333,.,0.914,0.55,.
Sanicula,Apiaceae,Apiales,0,0,0.659090909,0,0.003968254,.,1,0.5,1,.,.,.,.
Santalum,Santalaceae,Santalales,0,0,1,1,0.002139037,.,.,.,1,3,.,0.29,.
Santolina,Asteraceae,Asterales,0,0,1,1,0.00210989,.,.,.,1,.,.,.,.
Sapindus,Sapindaceae,Sapindales,0,0,1,1,0.001265823,.,.,.,1,2,.,0.54,2.618914004
Saponaria,Caryophyllaceae,Caryophyllales,0,0,0.727272727,0,0.001818182,0,1,0.5,1,4,.,2.06,14.4167402
Sarcobatus,Sarcobataceae,Caryophyllales,0,0,1,1,0,.,.,.,.,.,.,.,.
Sarcocapnos,Papaveraceae,Ranunculales,0,0,1,0,0,.,.,.,.,.,.,.,.
Sarcochilus,Orchidaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.
Sarcocornia,Amaranthaceae,Caryophyllales,0,0,1,0,0.041463415,.,.,.,0,.,.,2.96,.
Sarcostemma,Apocynaceae,Gentianales,0,0,1,1,0.000658617,.,.,.,.,0,.,.,.
Sarracenia,Sarraceniaceae,Ericales,0,0,1,0,0,.,1,1,1,1.083333333,.,4.35,.
